a52dec 0.7.4-12.1
abseil-cpp 20230125.1-2.1
accountsservice 22.08.8-4.1
ace-of-penguins 1.4-6
acl 2.3.1-3.1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
alacritty 0.12.0-1.1
alpm_octopi_utils 1.0.2-5
alsa-card-profiles 1:0.3.67-1.1
alsa-firmware 1.2.4-3
alsa-lib 1.2.8-1.1
alsa-plugins 1:1.2.7.1-2.1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1.1
amd-ucode 20230210.bf4115c-1
ananicy-cpp 1.0.2-1
android-tools 33.0.3-3.1
android-udev 20230303-1
aom 3.6.0-1.1
appstream 0.16.1-2.1
archlinux-keyring 20230320-1
arcolinux-logout 22.05_27-1
argon2 20190702-4.1
at-spi2-core 2.48.0-1.1
atkmm 2.28.3-1.1
atool 0.39.0-8
attr 2.5.1-2.1
audit 3.1-1.1
auto-cpufreq 1.9.7-2
autoconf 2.71-4
automake 1.16.5-2
avahi 0.8+22+gfd482a7-3.1
awesome-terminal-fonts 1.1.0-4
b43-fwcutter 019-4.1
base 3-1
base-devel 1-1
bash 5.1.016-3
bash-completion 2.11-3
bashmount 4.3.2-2
bat 0.23.0-2.1
bc 1.07.1-4.1
beautyline 1:20230302-1
betterlockscreen 4.0.4-2
bibata-cursor-theme 2.0.3-1
bind 9.18.13-1.1
binutils 2.40-8
bison 3.8.2-5.1
black-hole-solver 1.12.0-1.1
blas 3.11.0-2
bleachbit 4.4.2-3
blueman 2.3.5-1.1
bluez 5.66-1.1
bluez-hid2hci 5.66-1.1
bluez-libs 5.66-1.1
bluez-utils 5.66-1.1
boost-libs 1.81.0-3.1
botan 2.19.3-1.1
box2d 2.4.1-1
brave-bin 1:1.49.128-1
broadcom-wl-dkms 6.30.223.271-36.1
brotli 1.0.9-10.1
btop 1.2.13-1.1
btrfs-progs 6.2.1-1.1
bubblewrap 0.8.0-1.1
bzip2 1.0.8-5.1
c-ares 1.19.0-1.1
ca-certificates 20220905-1
ca-certificates-mozilla 3.89-1.1
ca-certificates-utils 20220905-1
cachy-browser 111.0.1-1
cachyos-ananicy-rules 1.r123.7ee75a1-1
cachyos-fish-config 8-1
cachyos-hello 0.9.6-1
cachyos-hooks 2023.03-2
cachyos-kernel-manager 1.0.9-2
cachyos-keyring 2-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 17-1
cachyos-packageinstaller 1.0.5-2
cachyos-rate-mirrors 2-2
cachyos-settings 28-1
cachyos-v3-mirrorlist 17-1
cachyos-zsh-config r13.6c2ccb6-1
cairo 1.17.8-2.1
cairomm 1.14.4-1.1
cantarell-fonts 1:0.303.1-1
cbatticon 1.6.13-1.1
cblas 3.11.0-2
celluloid 0.24-2.1
chromaprint 1.5.1-7.1
cifs-utils 7.0-3.1
clang 15.0.7-4
clucene 2.3.3.4-14.1
cmake 3.26.1-1.1
compiler-rt 15.0.7-2
coreutils 9.2-2.1
cpupower 6.2-1.1
cryptsetup 2.6.1-3.1
cups 1:2.4.2-6.1
cups-filters 1.28.17-2.1
cups-pdf 3.0.1-7.1
curl 8.0.1-1.1
cython 0.29.33-1.1
dav1d 1.1.0-1.1
db5.3 5.3.28-2.1
dbus 1.14.6-2.1
dbus-glib 0.112-2.1
dbus-python 1.2.18-4.1
dconf 0.40.0-2.1
debugedit 5.0-5.1
default-cursors 2-1
desktop-file-utils 0.26-2.1
device-mapper 2.03.20-1.1
dhclient 4.4.3.P1-1.1
diffutils 3.9-1.1
ding-libs 0.6.2-1.1
dkms 3.0.10-2
dmidecode 3.5-1.1
dmraid 1.0.0.rc16.3-14.1
dnsmasq 2.89-1.1
dnssec-anchors 20190629-3
dosfstools 4.2-3.1
double-conversion 3.2.1-1.1
duf 0.8.1-2.1
duktape 2.7.0-5.1
dunst 1.9.1-1.1
dust 0.8.5-1.1
e2fsprogs 1.47.0-1.1
efibootmgr 18-2.1
efitools 1.9.2-5.1
efivar 38-3.1
ell 0.56-1.1
enchant 2.3.4-1.1
ethtool 1:6.2-1.1
exa 0.10.1-6.1
exfatprogs 1.2.0-1.1
exiv2 0.27.6-1.1
expac 10-5.1
expat 2.5.0-1.1
f2fs-tools 1.15.0-2.1
faac 1.30-4.1
faad2 2.10.1-1.1
fakeroot 1.31-2
fastfetch 1.11.0-1
fd 8.7.0-1.1
feh 3.9.1-2.1
ffmpeg 2:6.0-4.1
ffmpegthumbnailer 2.2.2-5.1
fftw 3.3.10-4.1
file 5.44-3.1
file-roller 43.0-1.1
filesystem 2023.01.31-1.1
findutils 4.9.0-3.1
fio 3.34-1.1
firewalld 1.3.0-2
fish 3.6.1-1.1
fish-autopair 1.0.4-1
fish-pure-prompt 4.1.1-3
fisher 4.4.3-1
flac 1.4.2-1.1
flameshot 12.1.0-1.1
flatpak 1:1.15.4-1
flex 2.6.4-5.1
fluidsynth 2.3.1-2.1
fmt 9.1.0-4.1
fontconfig 2:2.14.2-1.1
foomatic-db 3:20230115-1
foomatic-db-engine 4:20220728-1
foomatic-db-gutenprint-ppds 5.3.4-2.1
foomatic-db-nonfree 3:20230115-1
foomatic-db-nonfree-ppds 3:20230115-1
foomatic-db-ppds 3:20230115-1
freeglut 3.4.0-1.1
freetype2 2.13.0-1.1
fribidi 1.0.12-1.1
fsarchiver 0.8.7-1.1
fuse-common 3.14.0-1.1
fuse2 2.9.9-4
fuse3 3.14.0-1.1
fzf 0.38.0-1.1
galculator 2.1.4-8.1
gawk 5.2.1-2.1
gc 8.2.2-1.1
gcc 12.2.1-5
gcc-libs 12.2.1-5
gcr 3.41.1-3.1
gcr-4 4.0.0-1.1
gd 2.3.3-6.1
gdbm 1.23-2.1
gdk-pixbuf2 2.42.10-2.1
geoclue 2.7.0-1.1
gettext 0.21.1-2.1
ghostscript 10.01.0-1.1
giflib 5.2.1-2.1
git 2.40.0-1.1
glances 3.3.0-1
glib-networking 1:2.76.0-1.1
glib2 2.76.1-1.1
glibc 2.37-5
glibmm 2.66.6-1.1
glibmm-2.68 2.76.0-1.1
glslang 12.1.0-1.1
glu 9.0.2-3.1
glusterfs 1:10.3-2.1
gmp 6.2.1-2.1
gnome-desktop-4 1:43.2-1.1
gnome-desktop-common 1:43.2-1.1
gnome-keyring 1:42.1-2.1
gnome-screenshot 41.0+r25+g45f08f0-1.1
gnupg 2.2.41-1.1
gnutls 3.8.0-1.1
gobject-introspection-runtime 1.76.1-1.1
gperftools 2.10-1.1
gpgme 1.19.0-3.1
gpick 0.3-1.1
gpicview 0.2.5-8.1
gpm 1.20.7.r38.ge82d1a6-4.1
gptfdisk 1.0.9-2.1
graphene 1.10.8-1.1
graphite 1:1.3.14-3.1
graphviz 7.1.0-1.1
grep 3.9-1.1
groff 1.22.4-10.1
grub 2:2.06.r456.g65bc45963-1.1
grub-hook 2.1-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsm 1.0.22-1.1
